Date,seasonal_rank,ticker
2026-01-02,40.807139720183194,AGG
2026-01-05,44.30651624945103,AGG
2026-01-06,47.238220716481585,AGG
2026-01-07,50.46427002948742,AGG
2026-01-08,50.222332015810274,AGG
2026-01-09,48.12864671560324,AGG
2026-01-12,41.76783361565971,AGG
2026-01-13,35.69836564401782,AGG
2026-01-14,30.62088274044796,AGG
2026-01-15,30.022821381517037,AGG
2026-01-16,30.760634293242994,AGG
2026-01-20,32.80012861534601,AGG
2026-01-21,32.498196248196244,AGG
2026-01-22,31.26419474245561,AGG
2026-01-23,33.827247631595455,AGG
2026-01-26,33.14088085827217,AGG
2026-01-27,31.324659639877034,AGG
2026-01-28,29.730221469351903,AGG
2026-01-29,26.133854068636673,AGG
2026-01-30,19.369706380575945,AGG
2026-02-02,15.690680092854006,AGG
2026-02-03,13.715101323796977,AGG
2026-02-04,12.624066754501538,AGG
2026-02-05,13.190993788819876,AGG
2026-02-06,15.847371227806011,AGG
2026-02-09,24.070126733170213,AGG
2026-02-10,30.28413012108664,AGG
2026-02-11,39.911616161616166,AGG
2026-02-12,50.23864420603552,AGG
2026-02-13,58.755254407428325,AGG
2026-02-17,58.644284459501854,AGG
2026-02-18,62.32636928289103,AGG
2026-02-19,61.82171089779786,AGG
2026-02-20,58.70623941276115,AGG
2026-02-23,52.236965932618105,AGG
2026-02-24,47.8382426751992,AGG
2026-02-25,37.61779283518414,AGG
2026-02-26,27.025534851621806,AGG
2026-02-27,20.65711462450593,AGG
2026-03-02,17.158934061107978,AGG
2026-03-03,15.272915490306795,AGG
2026-03-04,16.33595269464835,AGG
2026-03-05,20.189550787376874,AGG
2026-03-06,23.640284835937006,AGG
2026-03-09,28.777369973022143,AGG
2026-03-10,30.781338226990403,AGG
2026-03-11,34.05279503105591,AGG
2026-03-12,35.466309053265576,AGG
2026-03-13,33.26533973273104,AGG
2026-03-16,29.042443064182198,AGG
2026-03-17,27.933998368780976,AGG
2026-03-18,30.279346257607124,AGG
2026-03-19,31.615377376246936,AGG
2026-03-20,33.502729154903065,AGG
2026-03-23,36.942954388606566,AGG
2026-03-24,38.85344124474559,AGG
2026-03-25,36.41916054959533,AGG
2026-03-26,33.71431708388231,AGG
2026-03-27,30.981868373172723,AGG
2026-03-30,26.430139908400783,AGG
2026-03-31,25.00846979107849,AGG
2026-04-01,22.923097433967,AGG
2026-04-02,23.537706255097557,AGG
2026-04-06,24.533847794717357,AGG
2026-04-07,27.16254156471548,AGG
2026-04-08,28.295454545454543,AGG
2026-04-09,28.40807139720183,AGG
2026-04-10,27.49843152017065,AGG
2026-04-13,26.27235083756823,AGG
2026-04-14,25.963752431143735,AGG
2026-04-15,25.6735836627141,AGG
2026-04-16,31.139579020013805,AGG
2026-04-17,36.08821130560261,AGG
2026-04-20,45.77333897986072,AGG
2026-04-21,50.42913608130999,AGG
2026-04-22,53.0048152330761,AGG
2026-04-23,52.729939142982616,AGG
2026-04-24,55.356593889202586,AGG
2026-04-27,52.60587238848109,AGG
2026-04-28,52.540153083631346,AGG
2026-04-29,56.23313884183449,AGG
2026-04-30,57.32166384340297,AGG
2026-05-01,54.38829286655374,AGG
2026-05-04,54.58317648535039,AGG
2026-05-05,59.888481084133254,AGG
2026-05-06,61.863667733232944,AGG
2026-05-07,64.72402597402598,AGG
2026-05-08,68.56295878035009,AGG
2026-05-11,70.33745843528452,AGG
2026-05-12,68.20260053955705,AGG
2026-05-13,64.5376121463078,AGG
2026-05-14,64.18478260869566,AGG
2026-05-15,64.62568228872576,AGG
2026-05-18,64.68842148189974,AGG
2026-05-19,63.76246941464333,AGG
