Action,Quantity,Symbol,SecType,Exchange,Currency
Sell,13580,RETL,STK,SMART,USD
Sell,1494,SPXL,STK,SMART,USD
Sell,2200,TNA,STK,SMART,USD
Sell,2991,TECL,STK,SMART,USD
Sell,6954,TQQQ,STK,SMART,USD
Sell,3895,SOXL,STK,SMART,USD
Buy,1728,TBBK,STK,SMART,USD
Sell,167,QQQ,STK,SMART,USD
Sell,3901,DRN,STK,SMART,USD
Sell,766,NAIL,STK,SMART,USD
Sell,3371,WEBL,STK,SMART,USD
Sell,369,VNQ,STK,SMART,USD
Sell,345,IYR,STK,SMART,USD
Sell,765,XLRE,STK,SMART,USD
Sell,497,XLC,STK,SMART,USD
Sell,147,IWM,STK,SMART,USD
Sell,96,PSA,STK,SMART,USD
Sell,368,XLK,STK,SMART,USD
Sell,300,XLY,STK,SMART,USD
Sell,303,XHB,STK,SMART,USD
Sell,295,ITB,STK,SMART,USD
Sell,253,GWRE,STK,SMART,USD
Sell,110,NOVT,STK,SMART,USD
Sell,1060,SBGI,STK,SMART,USD
Sell,47,POOL,STK,SMART,USD
Sell,212,BLDR,STK,SMART,USD
Sell,77,ADSK,STK,SMART,USD
Sell,50,ZBRA,STK,SMART,USD
Sell,225,WSM,STK,SMART,USD
Sell,147,THO,STK,SMART,USD
Sell,577,UPBD,STK,SMART,USD
Sell,543,PSKY,STK,SMART,USD
Sell,250,MRVL,STK,SMART,USD
Sell,146,KMX,STK,SMART,USD
Sell,297,PAR,STK,SMART,USD
Sell,851,CNK,STK,SMART,USD
Sell,135,BNS,STK,SMART,USD
Sell,65,MDT,STK,SMART,USD
Sell,25,TGT,STK,SMART,USD
Sell,148,WBD,STK,SMART,USD
Sell,102,NVDA,STK,SMART,USD
