Action,Quantity,Symbol,SecType,Exchange,Currency
Sell,20370,RETL,STK,SMART,USD
Sell,2241,SPXL,STK,SMART,USD
Sell,3300,TNA,STK,SMART,USD
Sell,4486,TECL,STK,SMART,USD
Sell,10431,TQQQ,STK,SMART,USD
Sell,5842,SOXL,STK,SMART,USD
Buy,2592,TBBK,STK,SMART,USD
Sell,250,QQQ,STK,SMART,USD
Sell,5852,DRN,STK,SMART,USD
Sell,1149,NAIL,STK,SMART,USD
Sell,5056,WEBL,STK,SMART,USD
Sell,554,VNQ,STK,SMART,USD
Sell,518,IYR,STK,SMART,USD
Sell,1148,XLRE,STK,SMART,USD
Sell,746,XLC,STK,SMART,USD
Sell,220,IWM,STK,SMART,USD
Sell,144,PSA,STK,SMART,USD
Sell,552,XLK,STK,SMART,USD
Sell,450,XLY,STK,SMART,USD
Sell,454,XHB,STK,SMART,USD
Sell,442,ITB,STK,SMART,USD
Sell,380,GWRE,STK,SMART,USD
Sell,165,NOVT,STK,SMART,USD
Sell,1590,SBGI,STK,SMART,USD
Sell,70,POOL,STK,SMART,USD
Sell,318,BLDR,STK,SMART,USD
Sell,116,ADSK,STK,SMART,USD
Sell,75,ZBRA,STK,SMART,USD
Sell,338,WSM,STK,SMART,USD
Sell,220,THO,STK,SMART,USD
Sell,866,UPBD,STK,SMART,USD
Sell,814,PSKY,STK,SMART,USD
Sell,375,MRVL,STK,SMART,USD
Sell,219,KMX,STK,SMART,USD
Sell,446,PAR,STK,SMART,USD
Sell,1276,CNK,STK,SMART,USD
Sell,202,BNS,STK,SMART,USD
Sell,98,MDT,STK,SMART,USD
Sell,38,TGT,STK,SMART,USD
Sell,222,WBD,STK,SMART,USD
Sell,153,NVDA,STK,SMART,USD
